efficiency,country,latitude,NS,gpd_percap
0.488836663,Armenia,40,N,6128
0.511904762,Australia,35,S,46631
0.658415842,Austria,48,N,43796
0.544776119,Azerbaijan,40,N,11044
0.465767635,Bahrain,26,N,28559
0.503960396,Belgium,50,N,38826
0.664948454,Croatia,45,N,20392
0.611819235,Denmark,55,N,44325
0.731707317,Finland,60,N,40485
0.611819235,Germany,52,N,44741
0.702631579,Hungary,47,N,21239
0.623108666,Iran Islamic Republic of,35,N,16463
0.482949309,Italy,41,N,34455
0.627384961,Japan,35,N,37683
0.635430039,Kazakhstan,51,N,24143
0.373922414,Kuwait,29,N,39861
0.793528505,Lithuania,54,N,28245
0.500561167,Malta,35,N,30566
0.253846154,Morocco,34,N,5699
0.604651163,Norway,59,N,67619
0.377377377,Oman,23,N,44062
0.555319149,Portugal,38,N,27180
0.439099284,Saudi Arabia,24,N,53935
0.760233918,Slovenia,46,N,30266
0.571266968,Spain,40,N,32975
0.627797409,Sweden,59,N,46386
0.359293873,Tunisia,36,N,9774
0.514444444,Turkey,39,N,19556
0.251504212,Yemen,15,N,2249
